001,003,1300,1301,1308,1309,130a,130d,130f,130k,130l,130n,130p,130s,130t,130v,130x,130y,source,term_type
10008068,ItRAAR,http://id.loc.gov/authorities/names/no97002909,,,,"Bibliothèque théologique",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10008095,ItRAAR,http://id.loc.gov/authorities/names/n42024081,,,,"Subsídios para a história portuguesa",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10008137,DLC,http://id.loc.gov/authorities/names/no2008117246,,,,"Scienze politiche (Milan, Italy).",,,,,,Ricerche,,,,,,CtY;eng;CtY,UNIF_TITLE
10008164,ItRAAR,http://id.loc.gov/authorities/names/n2004095514,,,,"Zbirka Hieron",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10008984,ItRAAR,http://id.loc.gov/authorities/names/n83723793,,,,"Frankfurter theologische Studien",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10009263,ItRAAR,,,,,Blemyomachia,,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10009338,ItRAAR,http://id.loc.gov/authorities/names/n84741568,,,,"Analecta Gregoriana.",,,,,"Sectio A","Series Facultatis Philosophiae.",,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10009620,ItRAAR,http://id.loc.gov/authorities/names/n90671092,,,,"Românii în istoria universal",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10009839,ItRAAR,http://id.loc.gov/authorities/names/n83703812,,,,"Göttinger theologische Arbeiten",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10010060,ItRAAR,http://id.loc.gov/authorities/names/n2001080719,,,,"Biblioteca classica sacra",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10010313,ItRAAR,http://id.loc.gov/authorities/names/n86714195,,,,"Supplementi a Informatica e documentazione",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10010426,ItRAAR,http://id.loc.gov/authorities/names/n90647458,,,,"Dissertazioni della Pontificia Accademia romana di archeologia",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10010578,ItRAAR,http://id.loc.gov/authorities/names/n42030087,,,,"Deutsch-slawische Forschungen zur Namenkunde und Siedlungsgeschichte",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10010786,ItRAAR,http://id.loc.gov/authorities/names/n93039320,,,,"Publications of the Pipe Roll Society (London, England)",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10010807,ItRAAR,http://id.loc.gov/authorities/names/no97043570,,,,"Publications spéciales de la Société pour l'étude des langues romanes",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10010830,ItRAAR,http://id.loc.gov/authorities/names/no96053872,,,,"Herders theologischer Kommentar zum Neuen Testament.",,,,,,Supplementband,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10010909,ItRAAR,http://id.loc.gov/authorities/names/n42031174,,,,"Münchener romanistische Arbeiten",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10011372,ItRAAR,http://id.loc.gov/authorities/names/nr2001028466,,,,"Publications de l'Institut d'études orientales de la Faculté des lettres d'Alger",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10011539,ItRAAR,http://id.loc.gov/authorities/names/n91121023,,,,"Publications du Centre d'études de la Renaissance",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10011601,ItRAAR,http://id.loc.gov/authorities/names/n84749133,,,,"Classiques de la civilisation française",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10011644,ItRAAR,http://id.loc.gov/authorities/names/n93010181,,,,"Collectanea hellenistica",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10011971,ItRAAR,,,,,"Univers (Paris)",,,,,,,,,,,,BAV-R2,UNIF_TITLE
10012022,DLC,http://id.loc.gov/authorities/names/n42022653,,,,"Skrifter utgivna av Svenska litteratursällskapet i Finland",,,,,,,,,,,,DLC;eng;rda;DLC;DLC;InU;UPB,UNIF_TITLE
10012253,ItRAAR,,,,,"Evolution de l'humanité.",,,,,,"Préhistoire, protohistorie",,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10012282,ItRAAR,,,,,"Bibliotheca scriptorum Graecorum et Latinorum Teubneriana",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10012318,ItRAAR,http://id.loc.gov/authorities/names/n82250803,,,"(Baebius Italicus, n. 65 d.C)","Ilias latina",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10012335,ItRAAR,http://id.loc.gov/authorities/names/n42004673,,,,"Biblioteca de temas riojanos",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10012686,ItRAAR,http://id.loc.gov/authorities/names/n42036409,,,,"Corpus scriptorum Christianorum Orientalium.",,,,,,"Scriptores Coptici",,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10012867,ItRAAR,http://id.loc.gov/authorities/names/n84725838,,,,"Collana del Dipartimento di lingue e letterature straniere",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10013365,ItRAAR,http://id.loc.gov/authorities/names/n88523201,,,,"Katalog (Galleria Henze)",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10013475,ItRAAR,http://id.loc.gov/authorities/names/n42020211,,,,"Publicaciones del Departamento de Historia Medieval (Universidad de Oviedo. Departamento de Historia Medieval)",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10013883,ItRAAR,http://id.loc.gov/authorities/names/n42025642,,,,"Univers de la France et des pays francophones",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
