001,003,1300,1301,1308,1309,130a,130d,130f,130k,130l,130n,130p,130s,130t,130v,130x,130y,source,term_type
11180522,ItRAAR,,,,,"Epimerismi Homerici",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11180529,ItRAAR,,,,,Saliberna,,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11180565,ItRAAR,,,,"(Bouelles, Charles de, 1479-1567)","De Sapiente",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11180573,ItRAAR,,,,"(Bouelles, Charles de, 1479-1567)","De Nihilo",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11180583,ItRAAR,,"Gruppi, scelte",,"(Boissard, Jean Jacques, 1528-1602).","Parnassus biceps",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11180652,ItRAAR,,,,"(Boissard, Jean Jacques, 1528-1602)","Emblematum liber",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11180786,ItRAAR,http://id.loc.gov/authorities/names/n94009265,,,,"Prace Wydziau Filozoficznego",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11180797,DLC,http://id.loc.gov/authorities/names/n91048900,,,,"Veröffentlichungen des Vereins für Geschichte der Mark Brandenburg",,,,,,,,,,,,DLC;DLC;DLC,UNIF_TITLE
11180919,ItRAAR,http://id.loc.gov/authorities/names/no99025703,,,,"Bibliothèque ecclesia",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11181242,ItRAAR,,,,"(Buonarroti, Michelangelo, 1475-1564)","Secreta varia ad oculos",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11181248,ItRAAR,,,,"(Seneca, Lucius Annaeus, 5/4 a.C.-65 d.C.)","De tranquillitate animi",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11181352,DLC,http://id.loc.gov/authorities/names/n84708462,,,,"Berichte über die Verhandlungen der Sächsischen Akademie der Wissenschaften zu Leipzig, Philologisch-Historische Klasse",,,,,,,,,,,,DLC;eng;DLC;DLC;DLC-S;UkCU;OCoLC,UNIF_TITLE
11181356,ItRAAR,,,,"(Calmet, Augustin, O.S.B., 1672-1757)","Commentaire littéral sur tous les livres de l'Ancien et du Nouveau Testament",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11181395,ItRAAR,,,,"(Symeon Grammaticus)",Etymologicum,,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11181409,ItRAAR,,,,"(Calmet, Augustin, O.S.B., 1672-1757)","Dictionnaire historique, critique, chronologique, géographique et littéral de la Bible",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11181463,ItRAAR,http://id.loc.gov/authorities/names/no2003004878,,,,"Collection Marabout",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11181509,ItRAAR,,,,"(Boissard, Jean Jacques, 1528-1602)","Parnassus biceps",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11181514,ItRAAR,,,,,"Publicaciones del Archivo Histórico de la Provincia de Buenos Aires ""Ricardo Levene"".",,,,,,"Catálogos de los documentos del archivo",,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11181656,DLC,http://id.loc.gov/authorities/names/n85804346,,,,"Biblioteca aldeana de Colombia",,,,,,,,,,,,ICU;ICU;NIC;DLC;FU,UNIF_TITLE
11181670,ItRAAR,http://id.loc.gov/authorities/names/n88523725,,,,"Collection ""Le Théâtre et les jours""",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11181677,ItRAAR,,,,(Moschion),Sententiae,,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11181831,ItRAAR,,,,"(Boissard, Jean Jacques, 1528-1602)","Theatrum vitae humanae",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11181996,ItRAAR,http://id.loc.gov/authorities/names/n86745813,,,,"Regesta chartarum Italiae",,,,,,,,,,,,BAV,UNIF_TITLE
11182055,ItRAAR,,,,,"Códigos y leyes usuales de la provincia de Buenos Aires",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11182125,ItRAAR,,,,"(Calmo, Andrea, c. 1510-1571)","Rime piscatorie",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11182127,ItRAAR,,,,"(Calmo, Andrea, c. 1510-1571)",Lettere,,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11182134,ItRAAR,,,,"(Calmo, Andrea, c. 1510-1571)","Egloghe pastorali",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11182206,DLC,http://id.loc.gov/authorities/names/n2005078280,,,,"Declamationes pseudo-Quintilianeae (Maiores).",,,Selections.,"Italian & Latin",,,,,,,,DLC;eng;DLC;DLC,UNIF_TITLE
11182218,ItRAAR,,,,"(Calmo, Andrea, c. 1510-1571)",Saltuzza,,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11182222,ItRAAR,http://id.loc.gov/authorities/names/n42010560,,,,"Elementa (Rodopi (Firm))",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11182227,ItRAAR,,,,"(Calmo, Andrea, c. 1510-1571)",Spagnolas,,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11182262,ItRAAR,,,,"(Calmo, Andrea, c. 1510-1571)",Travaglia,,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11182439,ItRAAR,,,,,"Martyrium Polycarpi.",,,,"Francese e greco",,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11182441,ItRAAR,http://id.loc.gov/authorities/names/n81026486,,,,Haftarot,,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11182453,ItRAAR,http://id.loc.gov/authorities/names/n83701413,,,,"Collection scientifique de la Faculté de droit de Liège",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11182520,ItRAAR,,,,"(Euclides, sec. III a.C.)",Phaenomena,,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11182522,ItRAAR,,,,,"Isagoge harmonica",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11182576,ItRAAR,http://id.loc.gov/authorities/names/nr2004020332,,,"(Euclides, sec. III a.C.)",Data,,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11182689,ItRAAR,http://id.loc.gov/authorities/names/no2008100496,,,,"Ugor füzetek",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11183349,ItRAAR,,,,,"Theses ad lauream in philosophia (Pontificia Università lateranense)",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11184134,ItRAAR,,,,"(Boissard, Jean Jacques, 1528-1602)","Vitae et icones sultanorum turcorum",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11184320,ItRAAR,,,,"(Boissard, Jean Jacques, 1528-1602)","Romanae urbis topographiae et antiquitatum",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11184445,ItRAAR,,,,,"In Plethonem De fato",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11184665,ItRAAR,,,,,"Takirat al-Kaln",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11185367,ItRAAR,http://id.loc.gov/authorities/names/no95051771,,,,"Jews' College publications",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11185817,ItRAAR,,,,,"Symbolorum et emblematum centuriae",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11188233,ItRAAR,http://id.loc.gov/authorities/names/n84721808,,,,"Práce Uené spolenosti afaíkovy v Bratislav",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11188595,ItRAAR,http://id.loc.gov/authorities/names/n86704254,,,,"Bücherei des Schocken verlags",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11188931,ItRAAR,,,,,"De Philippi Melanchthonis ortu, totius vitae curriculo et morte",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11192444,ItRAAR,,,,"(Bohier, Nicolas de, 1469-1539)","Boerii Consilia",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11192549,ItRAAR,,,,,"Commentaria in consuetudines Bituricenses",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11192615,ItRAAR,,,,,"Decisiones in senatu Burdigalensium discussae ac promulgatae",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11192647,ItRAAR,,,,,"Testamento dell'anima",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11192678,ItRAAR,,,,,"Invenzioni d'amore",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11192684,ItRAAR,http://id.loc.gov/authorities/names/n87106115,,,,"Chronique des Pasquier",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11192758,ItRAAR,,,,"(Camerarius, Joachim, 1500-1574)",Lettere,,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11192776,ItRAAR,,,,,"Dokumentacija graditeljskog naslje&/da",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11193165,ItRAAR,,,,,"Historia de Christi Iesu ad mortem ... accessione",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11195567,ItRAAR,,,,"(Euripides, 480-407 a.C.)",Frammenti,,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11195812,ItRAAR,http://id.loc.gov/authorities/names/no2004062989,,,,"Publications de la Faculté des lettres et sciences humaines de l'Université de Caen",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11196634,ItRAAR,,,,,"Praecepta morum ac vitae accomodatae aetati puerili",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11196745,ItRAAR,,,,,"Ludus septem sapientum",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11197683,ItRAAR,,,,,"Narratio de vita Georgii principis Anhaltini",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11197844,ItRAAR,,,,,"Narratio de H. Eobano Hesso",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11214259,ItRAAR,,,,"(Calpurnius Flaccus, sec. II)",Declamationes,,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11214518,ItRAAR,,,,"(Calpurnius Siculus, T., sec. I)",Bucolica,,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11218935,ItRAAR,,,,"(Euclides, sec. III a.C.)",Optica,,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11218936,ItRAAR,http://id.loc.gov/authorities/names/n82207562,,,"(Euclides, sec. III a.C.)",Catoptrica,,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11219070,ItRAAR,http://id.loc.gov/authorities/names/n85194941,,,,"Digestum novum",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11219205,ItRAAR,http://id.loc.gov/authorities/names/n93069679,,,,"Digestum vetus",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11219352,ItRAAR,http://id.loc.gov/authorities/names/n82032838,,,,Infortiatum,,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11219766,ItRAAR,,,,"(Ptolemaeus, Claudius, sec. II)",Optica,,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11220009,ItRAAR,,,,"(Euripides, 480-407 a.C.)",Hecuba,,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11220044,ItRAAR,,,,"(Euripides, 480-407 a.C.)",Heraclidae,,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11220199,ItRAAR,,,,"(Eunapius Sardianus, f. 367-414)","Vitae sophistarum",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11221238,ItRAAR,,,,,"Volumen parvum (Corpus iuris civilis)",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11221247,ItRAAR,http://id.loc.gov/authorities/names/n83706296,,,,"Pfälzische Arbeiten zum Buch- und Bibliothekswesen und zur Bibliographie",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11221265,ItRAAR,,,,,"Universa bibliotheca iuris.",,,,,,Subsidia,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11221316,ItRAAR,,,,"(Euripides, 480-407 a.C.)",Bacchae,,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11221607,ItRAAR,,,,,"Comunicazioni dalle biblioteche di Roma e da altre biblioteche per lo studio delle lingue e delle letterature romanze a cura di Ernesto Monaci",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11221637,ItRAAR,http://id.loc.gov/authorities/names/no2003066373,,,"(Euripides, 480-407 a.C.)",Helena,,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11221648,ItRAAR,,,,"(Euripides, 480-407 a.C.)",Hercules,,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11221661,ItRAAR,,,,"(Euripides, 480-407 a.C.)",Ion,,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11221747,ItRAAR,,,,"(Euripides, 480-407 a.C.)",Hypsipyle,,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11221800,ItRAAR,,,,"(Euripides, 480-407 a.C.)",Orestes,,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11221954,ItRAAR,,,,,"Casa con dos puertas, mala es de guardar",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11221993,ItRAAR,http://id.loc.gov/authorities/names/n92028099,,,,"Norges indskrifter indtil reformationen",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11222184,ItRAAR,,,,,"Instruction et confession de foy",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11222229,ItRAAR,,,,"(Capodivacca, Girolamo, m. 1589)","Opusculum de doctrinarum differentiis",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11222304,ItRAAR,,,,,"Commentarii in Isaiam prophetam",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11222391,ItRAAR,,,,"(Eusebius Alexandrinus, sec. V-VII)","De Christi passione",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11222550,ItRAAR,http://id.loc.gov/authorities/names/no99020916,,,,"Collection du centenaire de la Révolution de 1848",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11222679,ItRAAR,http://id.loc.gov/authorities/names/no90009909,,,,"Zapiski Istoriko-filologicheskago fakulteta Imperatorskago s.-peterburgskago universiteta",,,,,,,,,,,,BAV-R2,UNIF_TITLE
11222870,ItRAAR,,,,,"Institutio Christianae religionis",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11222944,ItRAAR,,,,"(Eusebius Caesariensis, vesc., 260/265-339/340)","Historia ecclesiastica",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11222975,ItRAAR,,,,"(Eusebius Caesariensis, vesc., c. 265-c. 340)","Vita Constantini",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11223034,ItRAAR,,,,,"Con quien vengo vengo",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11223041,ItRAAR,,,,,"Conde Lucanor",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11223116,ItRAAR,,,,,"Commentarius in Epistolam Pauli ad Romanos",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11223118,ItRAAR,,,,,"Exaltacion de la Cruz",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11223121,ItRAAR,,,,"(Eusebius Caesariensis, vesc., 260/265-339/340)","De martyribus Palaestinae",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11223138,ItRAAR,,,,"(Euripides, 480-407 a.C.)",Phaethon,,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11223151,ItRAAR,,,,,"Laurel de Apolo",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11223164,ItRAAR,,,,,"Maestro de danzar",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11223170,ItRAAR,,,,"(Euripides, 480-407 a.C.)",Phoenissae,,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11223186,ItRAAR,,,,,"Mágico prodigioso",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11223239,ItRAAR,,,,"(Caesarius, s., vesc. di Arles, 470-542)","Statuta sanctarum virginum",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11223296,ItRAAR,,,,,"Manos blancas no ofenden",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11223480,ItRAAR,,,,,"Pintor de sù deshonra",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11223518,ItRAAR,,,,,"Secreto a vozes",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11223524,ItRAAR,http://id.loc.gov/authorities/names/nr2004010106,,,,"Collection d'auteurs étrangers contemporains",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11223531,ItRAAR,,,,,"De un castigo en tres venganzas",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11223600,ItRAAR,,,,,"Zelos aun del ayre matan",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11223660,ItRAAR,,,,,"Müvészettörténeti füzetek",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11223699,ItRAAR,,,,"(Campana, Francesco, m. 1546)","Virgiliana quaestio",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11223736,ItRAAR,,,,"(Capone, Giulio, conte, c. 1600-1673)","Disceptationes forenses",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11223758,ItRAAR,,,,,"Medico de su honra",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11223771,ItRAAR,http://id.loc.gov/authorities/names/n42001128,,,,"Acta Universitatis Upsaliensis.",,,,,,"Studia ethnologica Upsaliensia",,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11223779,ItRAAR,,,,,"Alcalde de Zalamea",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11223798,ItRAAR,http://id.loc.gov/authorities/names/n42003033,,,,"Bibliothèque de l'hermétisme",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11223805,ItRAAR,,,,"(Caesarius, s., vesc. di Arles, 470-542)",Sermones,,,,,,,,,,,,DLC,UNIF_TITLE
11223830,ItRAAR,,,,"(Capone, Giulio, conte, 1600-1673)","Tractatus de pactis et stipulationibus",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11223831,ItRAAR,,,,,"Cisma de Ingalaterra",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11223848,ItRAAR,,,,,"Dama duende",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11223849,ItRAAR,,,,,"No hy cosa como callar",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11223937,ItRAAR,,,,"(Eusebius Caesariensis, vesc., 260/265-339/340)","De ecclesiastica theologia",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11223958,ItRAAR,http://id.loc.gov/authorities/names/n42004528,,,,"Bibliotheca Kierkegaardiana",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11224027,ItRAAR,,,,"(Euripides, 480-407 a.C.)",Cresphontes,,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11224028,ItRAAR,,,,"(Euripides, 480-407 a.C.)",Archelaus,,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11224047,ItRAAR,,,,,"Instituto social. Publ. de ""Extensión Universitaria""",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11224048,ItRAAR,http://id.loc.gov/authorities/names/no96024027,,,,"Fascicoli musicali",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11224127,ItRAAR,,,,,"Publications de l'Institut de théologie pastorale de l'Université de Fribourg, Suisse",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11224191,ItRAAR,,,,,"Atti e memorie della R. Accademia di s. Cecilia",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11224254,ItRAAR,,,,"(Caporali, Cesare, 1531-1601)",Rime,,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11224301,ItRAAR,,,,"(Euripides, 480-407 a.C.)",Telephus,,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11224461,ItRAAR,,,,,"Leges hispanicae medii aevi",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11224490,ItRAAR,,,,,"Storia letteraria d'Italia,",,,,,"[pte 4]",,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11224592,ItRAAR,,,,"(Euripides, 480-407 a.C.)",Rhesus,,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11224728,ItRAAR,,,,,"Histoire universelle, sacrée et profane, depuis le commencement du monde jusq'uà nos jours",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11224954,ItRAAR,,,,,"Pamâtniki arhitektury vologodskoj oblasti",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11225171,ItRAAR,,,,"(Sophocles, sec. V a.C.)",Electra,,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11225464,ItRAAR,,,,,"Siena monumentale,",,,,,"anno I, 1906",,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11225535,ItRAAR,,,,"(Campanella, Tommaso, 1568-1639)","Aforismi politici",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11225674,ItRAAR,,,,"(Campanella, Tommaso, 1568-1639)","De gentilismo non retinendo",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11225675,ItRAAR,,,,"(Campanella, Tommaso, 1568-1639)","De praedestinatione",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11225724,DLC,http://id.loc.gov/authorities/names/no2009085502,,,,"Quaderni di cultura politica.",,,,,"Serie 12",,,,,,,IEN;eng;IEN,UNIF_TITLE
11225877,DLC,http://id.loc.gov/authorities/names/n85824826,,,,"Atti e memorie della R. Deputazione di storia patria per le provincie modenesi",,,,,,,,,,,,ICU;ICU;DLC-S,UNIF_TITLE
11225993,ItRAAR,,,,,"Collegio degli zoojatri in Roma",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11226100,ItRAAR,,,,"(Eusebius Caesariensis, vesc., 260/265-339/340)","Generalis elementaria introductio",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11226204,ItRAAR,,,,,"Nuova serie di orazioni sacre",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11226297,ItRAAR,,,,,"Contra Marcellum",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11226361,ItRAAR,,,,"(Eustathius, arciv. di Tessalonica, c. 1115-1195/7)","Commentarii ad Homeri Odysseam",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11226519,ItRAAR,http://id.loc.gov/authorities/names/n83709166,,,,"Col·lecció Estudis i documents",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11226747,ItRAAR,,,,,"L'Architettura antica.",,,,,"Sezione I.","Architettura egiziana",,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11226753,ItRAAR,,,,,"L'Architettura antica.",,,,,"Sezione II.","Architettura greca",,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11226812,ItRAAR,,,,,"L'architettura antica.",,,,,"Tomo quarto. Sezione II.","Architettura greca",,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11226825,ItRAAR,,,,,"L'Architettura antica.",,,,,"Sezione III.","Architettura romana",,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11227374,ItRAAR,,,,,"Apologia pro Scholis Piis",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11227397,DLC,http://id.loc.gov/authorities/names/n42030422,,,,"Biblioteca ""La Ciudad de Dios.""",,,,,"III,","""Pax juris."";Estudios universitarios escurialenses",,,,,,DLC;DLC;DLC,UNIF_TITLE
11227540,ItRAAR,,,,"(Cantù, Cesare, 1804-1895)","Eretici d'Italia",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11227549,DLC,http://id.loc.gov/authorities/names/n97827521,,,,"Margherita Pusterla (Choreographic work : Sales)",,,,,,,,,,,,NN-PD;NN-PD,UNIF_TITLE
11227557,ItRAAR,,,,"(Cantù, Cesare, 1804-1895)","Storia degli Italiani",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11227562,ItRAAR,,,,"(Cantù, Cesare, 1804-1895)","Storia universale",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11227782,ItRAAR,,,,,"Biblioteca delle scienze giuridiche e sociali",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11227872,ItRAAR,,,,"(Abramius, arciv. di Efeso, sec. V-VI)","Homilia de Annuntiatione",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11227874,ItRAAR,,,,"(Abramius, arciv. di Efeso, sec. V-VI)","Homilia de Hypapante",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11227939,ItRAAR,,,,"(Walter, Rudolph, 1519-1580)","Argumenta elegiaco carmine",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11227977,ItRAAR,http://id.loc.gov/authorities/names/no2015014368,,,,"Repertorium Liturgiae polychoralis",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11228102,ItRAAR,,,,"(Adamantius Iudaeus, sec. IV-V)",Physiognomica,,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11228107,ItRAAR,,,,"(Caramuel Lobkowitz, Juan, vesc. di Vigevano, 1606-1682)","Theologia moralis",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11228173,ItRAAR,http://id.loc.gov/authorities/names/n84733952,,,,"Biblioteca de autores canarios",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11228214,ItRAAR,,,,"(Agathangelus Armeniacus, sec. V-VI)","Historia Armeniae",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11228260,ItRAAR,http://id.loc.gov/authorities/names/n86718698,,,,"Monumenta iuris canonici.",,,,,"Series A,","Corpus glossatorum",,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11228309,ItRAAR,,,,"(Caramuel Lobkowitz, Juan, vesc. di Vigevano, 1606-1682)","Sacri Romani Imperii Pax",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11228497,ItRAAR,http://id.loc.gov/authorities/names/n95028707,,,,"Collection d'histoire et d'archéologie médiévales",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
11228553,ItRAAR,,,,"(Agathias scholasticus, 534-582)",Historiae,,,,,,,,,,,,DLC;DLC,UNIF_TITLE
