n00009633,5229
sh85068937,211
n80082610,212
sh85079642,214
sh85068937,220
sh85045466,221
sh 85057092,222
n81070647,224
sh85041401,231
n80082610,239
sh85053538,256
sh85001631,257
n79063209,262
sh85003107,266
sh85017093,282
sh85105729,292
sh85134051,293
sh85026864,295
sh85049132,314
sh85055102,318
sh2001008599,327
sh85075435,330
sh85017093,340
sh85120306,382
sh85129239,395
sh85105855,396
sh85134051,397
sh2010001954,415
sh85004641,418
sh86005692,419
sh85017410,421
sh2001008599,427
sh86000083,428
sh85119004,434
sh85134052,436
sh85005795,457
sh85008505,458
sh85026114,460
sh85036691,461
sh85039257,466
sh95003370,476
sh85124660,478
sh85045466,487
n 82093760,489
sh85045466,490
sh00005810,492
sh85148640,495
sh85066566,496
sh85088597,506
n79032986,507
sh86005288,517
sh85006834,626
sh85074420,627
sh94003844,628
sh95004547,631
sh2008005556,634
sh2008116728,636
sh85006834,644
n80086768,648
sh85006611,655
n81113048,656
sh97002017,658
sh85004635,1974
n79021783,1981
sh87004621,1986
sh85019970,1990
n85119541,1996
sh97004783,1997
sh94003435,1998
sh85101178,2000
n82000920,2001
sh96003574,2002
sh96003574,2003
n79018704,2005
sh92005501,2008
sh97004783,2010
sh92005501,2012
sh92005501,2014
sh85006535,2015
n79055925,2017
sh92006467,2019
sh85101178,2020
n80051702,2021
n79127068,2023
sh94003441,2026
sh94001219,2027
n79059167,2028
sh94005053,2029
sh94004091,2030
n79018704,2031
sh94005053,2032
n97082538,2033
sh94005053,2034
sh2009115508,2035
n88624655,2037
n88624655,2038
sh2009115508,2039
sh85006860,2040
n94076135,2042
sh85135212,2047
sh95000862,2049
sh85135212,2052
sh88005154,2053
sh99013793,2056
sh94003838,2057
sh94003842,2061
n80123081,2062
n79054060,2063
sh85135944,2064
n82053044,2065
sh85025592,2068
nr88009416,2069
n88212384,2076
n85382115,2077
n88212385,2078
sh2010105778,2080
n85118301,2083
n94065339,2086
sh2016000769,2092
sh92006160,2094
n2002041520,2095
n80025891,2098
nr90018855,2099
sh85006707,2101
n97056239,2102
sh85117506,2103
n79041756,2105
n82066585,2107
nr90003599,2108
sh96003302,2109
no94022519,2110
sh2009119683,2111
sh2009119683,2112
n86029437,2113
sh94003838,2114
sh90002108,2116
nr89013885,2118
sh92002376,2119
sh92002376,2120
n86836649,2121
sh2008121120,2123
sh85007860,2125
sh94003844,2126
sh85050180,2127
sh85007566,2128
sh2001007096,2130
sh95000951,2132
sh97006908,2135
sh85019184,2137
