211,127
212,422
214,289
220,76
221,39
222,116
224,12
231,13
239,42
256,16
257,149
262,5
266,26
282,73
292,3796
293,2526
295,855
314,117
318,199
327,25
330,4
340,283
382,9
395,225
396,502
397,85
415,136
418,80
419,387
421,480
427,108
428,318
434,157
436,88
457,1
458,1
460,1
461,1
466,4
476,1
478,1
487,71
489,53
490,15
492,5
495,1
496,95
506,20
507,26
517,310
626,540
627,1601
628,992
631,10115
634,324
636,332
644,401
648,51
655,367
656,17
658,89
1974,36
1981,501
1986,14
1990,19
1996,4
1997,6
1998,20
2000,5
2001,21
2002,20
2003,3
2005,42
2008,159
2010,18
2012,7
2014,21
2015,61
2017,54
2019,52
2020,944
2021,10
2023,54
2026,135
2027,23
2028,3
2029,26
2030,48
2031,916
2032,5
2033,22
2034,5
2035,9
2037,13
2038,5
2039,14
2040,102
2042,3
2047,25
2049,7
2052,42
2053,14
2056,9
2057,10
2061,28
2062,3
2063,2
2064,74
2065,2
2068,75
2069,8
2076,6
2077,12
2078,7
2080,6
2083,5
2086,22
2092,26
2095,11
2098,8
2099,4
2101,3
2102,16
2103,37
2105,3
2107,5
2108,3
2109,3
2110,8
2111,18
2112,13
2113,4
2114,5
2116,9
2118,13
2119,16
2120,13
2121,5
2123,106
2125,565
2126,5
2127,15
2128,21
2130,23
2132,5
2135,5
2137,14
2138,29
2143,3
2144,2
2146,29
2149,34
2150,26
2151,102
2156,5
2162,173
2163,5
2165,9
2166,141
2168,129
2169,87
2171,24
2172,57
2175,21
2176,3
2181,2
2184,2
2189,15
2194,3
2201,2
2203,67
2207,4
2209,20
2210,240
2212,56
2214,11
2215,10
2216,2
2220,20
2223,241
2225,49
2233,4
2234,112
2235,54
2241,94
2247,28
2248,35
2250,21
2251,31
2256,2
2263,8
2265,2
2271,3
2276,93
2310,3949
2312,26
2314,9
2316,102
2317,9
2320,99
2324,442
2328,1201
2331,697
2332,26
2333,395
2334,126
2335,8323
2337,336
2338,99
2339,15
2341,79
2342,92
2350,2
2353,2
2356,2
2359,2
2361,2
2362,2
2363,2
2368,698
2369,520
